educ,exper,salario
14,33,18.895386159024426
11,9,18.690009226242502
18,35,18.76331051690822
15,13,19.22382184284578
12,30,10.127684624464578
14,14,18.455192092567792
17,7,29.364673992326377
10,13,13.304366225023802
14,22,16.180181364993953
18,39,17.65583910969096
18,20,35.065753676586155
15,15,20.05083119318128
12,17,22.331011468444277
11,23,10.779031641533361
15,25,16.674965346551105
15,24,18.765255234325362
10,28,9.421692975549767
13,14,44.12819960611186
12,0,8.424298944287157
9,24,17.786954521980185
15,6,14.942086280994163
19,8,22.68862624730675
13,23,20.51993474614099
9,0,5.944372202871789
19,7,21.16139446871115
12,23,16.561126267675597
8,10,8.901278294885318
19,16,23.50594080386447
17,7,30.478396065527935
13,34,21.02045611292546
19,34,22.009412285685865
16,32,20.302630814935345
8,4,14.22647722727773
18,38,13.30388814964066
18,27,29.737438206534396
17,6,38.720584547771736
19,8,47.72762779012096
19,7,14.42592066208761
10,11,10.915806874628682
19,33,27.155994561158515
14,32,11.934542361427987
11,22,13.138225920231388
16,23,22.869695622028694
10,36,17.53846500958971
12,34,14.159406922921564
10,39,11.068254079083383
14,21,23.872498827126456
12,26,19.827038904900853
16,34,19.934060249792683
14,0,9.591467306509621
9,34,14.309187899875843
11,36,14.202909514110369
16,13,16.477145679593473
19,2,18.016887829936806
9,0,12.016172903110041
17,4,24.18287986604
16,25,18.895250650278857
17,13,22.874434036398355
12,38,12.097046490470229
9,26,15.944295760818838
11,8,20.301244909163724
19,14,30.075014603600238
19,14,41.87806971502052
14,25,25.97137813596999
19,12,30.49903489122312
15,31,12.755403611541439
10,38,7.906512134843994
8,31,14.032445591603432
11,3,7.22712368496006
9,29,13.127293650960194
15,36,23.199846965332465
11,22,16.805836867836202
9,38,8.294401974339264
13,14,14.154260765605814
13,28,22.665542435959686
17,35,23.96302907594695
11,12,13.878671117819314
13,31,23.071261236034204
9,6,14.588000919073739
17,21,44.50395925325313
